Timestamp Logare,Nume Fisier,Clasa (Label),Tip Sursa (Originalitate),Durata (sec),Sample Rate (Hz),Status
2026-01-18 16:31:34,1.wav,chitara,Contributie Proprie (Microfon + GarageBand),15.96,44100,Valid
2026-01-18 16:31:34,10.wav,chitara,Contributie Proprie (Microfon + GarageBand),9.34,44100,Valid
2026-01-18 16:31:34,11.wav,chitara,Contributie Proprie (Microfon + GarageBand),15.96,44100,Valid
2026-01-18 16:31:34,12.wav,chitara,Contributie Proprie (Microfon + GarageBand),15.96,44100,Valid
2026-01-18 16:31:34,13.wav,chitara,Contributie Proprie (Microfon + GarageBand),15.96,44100,Valid
2026-01-18 16:31:34,14.wav,chitara,Contributie Proprie (Microfon + GarageBand),15.96,44100,Valid
2026-01-18 16:31:34,15.wav,chitara,Contributie Proprie (Microfon + GarageBand),8.00,44100,Valid
2026-01-18 16:31:34,16.wav,chitara,Contributie Proprie (Microfon + GarageBand),15.96,44100,Valid
2026-01-18 16:31:34,17.wav,chitara,Contributie Proprie (Microfon + GarageBand),15.96,44100,Valid
2026-01-18 16:31:34,18.wav,chitara,Contributie Proprie (Microfon + GarageBand),15.96,44100,Valid
2026-01-18 16:31:34,19.wav,chitara,Contributie Proprie (Microfon + GarageBand),15.96,44100,Valid
2026-01-18 16:31:34,2.wav,chitara,Contributie Proprie (Microfon + GarageBand),15.96,44100,Valid
2026-01-18 16:31:34,20.wav,chitara,Contributie Proprie (Microfon + GarageBand),9.34,44100,Valid
2026-01-18 16:31:34,21.wav,chitara,Contributie Proprie (Microfon + GarageBand),15.96,44100,Valid
2026-01-18 16:31:34,22.wav,chitara,Contributie Proprie (Microfon + GarageBand),15.96,44100,Valid
2026-01-18 16:31:34,23.wav,chitara,Contributie Proprie (Microfon + GarageBand),15.96,44100,Valid
2026-01-18 16:31:34,24.wav,chitara,Contributie Proprie (Microfon + GarageBand),15.96,44100,Valid
2026-01-18 16:31:34,25.wav,chitara,Contributie Proprie (Microfon + GarageBand),8.00,44100,Valid
2026-01-18 16:31:34,26.wav,chitara,Contributie Proprie (Microfon + GarageBand),15.96,44100,Valid
2026-01-18 16:31:34,27.wav,chitara,Contributie Proprie (Microfon + GarageBand),15.96,44100,Valid
2026-01-18 16:31:34,28.wav,chitara,Contributie Proprie (Microfon + GarageBand),16.34,44100,Valid
2026-01-18 16:31:34,29.wav,chitara,Contributie Proprie (Microfon + GarageBand),15.96,44100,Valid
2026-01-18 16:31:34,3.wav,chitara,Contributie Proprie (Microfon + GarageBand),15.96,44100,Valid
2026-01-18 16:31:34,30.wav,chitara,Contributie Proprie (Microfon + GarageBand),9.34,44100,Valid
2026-01-18 16:31:34,31.wav,chitara,Contributie Proprie (Microfon + GarageBand),15.96,44100,Valid
2026-01-18 16:31:34,32.wav,chitara,Contributie Proprie (Microfon + GarageBand),15.96,44100,Valid
2026-01-18 16:31:34,33.wav,chitara,Contributie Proprie (Microfon + GarageBand),15.96,44100,Valid
2026-01-18 16:31:34,34.wav,chitara,Contributie Proprie (Microfon + GarageBand),15.96,44100,Valid
2026-01-18 16:31:34,35.wav,chitara,Contributie Proprie (Microfon + GarageBand),9.34,44100,Valid
2026-01-18 16:31:34,36.wav,chitara,Contributie Proprie (Microfon + GarageBand),15.96,44100,Valid
2026-01-18 16:31:34,37.wav,chitara,Contributie Proprie (Microfon + GarageBand),15.96,44100,Valid
2026-01-18 16:31:34,38.wav,chitara,Contributie Proprie (Microfon + GarageBand),15.96,44100,Valid
2026-01-18 16:31:34,39.wav,chitara,Contributie Proprie (Microfon + GarageBand),15.96,44100,Valid
2026-01-18 16:31:34,4.wav,chitara,Contributie Proprie (Microfon + GarageBand),15.96,44100,Valid
2026-01-18 16:31:34,40.wav,chitara,Contributie Proprie (Microfon + GarageBand),9.34,44100,Valid
2026-01-18 16:31:34,5.wav,chitara,Contributie Proprie (Microfon + GarageBand),9.34,44100,Valid
2026-01-18 16:31:34,6.wav,chitara,Contributie Proprie (Microfon + GarageBand),15.96,44100,Valid
2026-01-18 16:31:34,7.wav,chitara,Contributie Proprie (Microfon + GarageBand),15.96,44100,Valid
2026-01-18 16:31:34,8.wav,chitara,Contributie Proprie (Microfon + GarageBand),15.96,44100,Valid
2026-01-18 16:31:34,9.wav,chitara,Contributie Proprie (Microfon + GarageBand),15.96,44100,Valid
2026-01-18 16:31:34,rec_48.wav,chitara,Contributie Proprie (Microfon + GarageBand),4.63,48000,Valid
2026-01-18 16:31:34,rec_49.wav,chitara,Contributie Proprie (Microfon + GarageBand),4.29,48000,Valid
2026-01-18 16:31:34,rec_50.wav,chitara,Contributie Proprie (Microfon + GarageBand),4.29,48000,Valid
2026-01-18 16:31:34,rec_51.wav,chitara,Contributie Proprie (Microfon + GarageBand),4.88,48000,Valid
2026-01-18 16:31:34,rec_52.wav,chitara,Contributie Proprie (Microfon + GarageBand),4.63,48000,Valid
2026-01-18 16:31:34,rec_53.wav,chitara,Contributie Proprie (Microfon + GarageBand),4.29,48000,Valid
2026-01-18 16:31:34,rec_54.wav,chitara,Contributie Proprie (Microfon + GarageBand),3.95,48000,Valid
2026-01-18 16:31:34,rec_55.wav,chitara,Contributie Proprie (Microfon + GarageBand),4.12,48000,Valid
2026-01-18 16:31:34,rec_56.wav,chitara,Contributie Proprie (Microfon + GarageBand),4.46,48000,Valid
2026-01-18 16:31:34,rec_57.wav,chitara,Contributie Proprie (Microfon + GarageBand),4.37,48000,Valid
2026-01-18 16:31:34,rec_58.wav,chitara,Contributie Proprie (Microfon + GarageBand),4.63,48000,Valid
2026-01-18 16:31:34,rec_59.wav,chitara,Contributie Proprie (Microfon + GarageBand),3.86,48000,Valid
2026-01-18 16:31:34,rec_60.wav,chitara,Contributie Proprie (Microfon + GarageBand),4.37,48000,Valid
2026-01-18 16:31:34,rec_61.wav,chitara,Contributie Proprie (Microfon + GarageBand),4.97,48000,Valid
2026-01-18 16:31:34,rec_62.wav,chitara,Contributie Proprie (Microfon + GarageBand),3.77,48000,Valid
2026-01-18 16:31:34,rec_63.wav,chitara,Contributie Proprie (Microfon + GarageBand),4.03,48000,Valid
2026-01-18 16:31:34,rec_64.wav,chitara,Contributie Proprie (Microfon + GarageBand),6.68,48000,Valid
2026-01-18 16:31:34,rec_65.wav,chitara,Contributie Proprie (Microfon + GarageBand),4.29,48000,Valid
2026-01-18 16:31:34,rec_66.wav,chitara,Contributie Proprie (Microfon + GarageBand),3.95,48000,Valid
2026-01-18 16:31:34,rec_67.wav,chitara,Contributie Proprie (Microfon + GarageBand),4.37,48000,Valid
2026-01-18 16:31:34,rec_68.wav,chitara,Contributie Proprie (Microfon + GarageBand),4.54,48000,Valid
2026-01-18 16:31:34,rec_69.wav,chitara,Contributie Proprie (Microfon + GarageBand),4.20,48000,Valid
2026-01-18 16:31:34,rec_70.wav,chitara,Contributie Proprie (Microfon + GarageBand),5.14,48000,Valid
2026-01-18 16:31:34,rec_71.wav,chitara,Contributie Proprie (Microfon + GarageBand),4.03,48000,Valid
2026-01-18 16:31:34,rec_72.wav,chitara,Contributie Proprie (Microfon + GarageBand),4.12,48000,Valid
2026-01-18 16:31:34,rec_73.wav,chitara,Contributie Proprie (Microfon + GarageBand),4.46,48000,Valid
